;Location;Year;Rent Rate
74;Oberösterreich;2011-01-01;34.0
75;Salzburg;2011-01-01;34.0
76;Steiermark;2011-01-01;32.7
77;Tirol;2011-01-01;32.7
78;Voralberg;2011-01-01;30.5
79;Wien;2011-01-01;76.0
80;Österreich;2012-01-01;41.4
81;Burgenland;2012-01-01;17.9
82;Kärnten;2012-01-01;34.5
83;Niederösterreich;2012-01-01;25.9
84;Oberösterreich;2012-01-01;33.5
85;Salzburg;2012-01-01;35.1
86;Steiermark;2012-01-01;31.7
87;Tirol;2012-01-01;32.2
88;Voralberg;2012-01-01;31.0
89;Wien;2012-01-01;77.4
90;Österreich;2013-01-01;41.8
91;Burgenland;2013-01-01;19.4
92;Kärnten;2013-01-01;33.9
93;Niederösterreich;2013-01-01;25.8
94;Oberösterreich;2013-01-01;34.4
95;Salzburg;2013-01-01;34.2
96;Steiermark;2013-01-01;32.0
97;Tirol;2013-01-01;32.8
98;Voralberg;2013-01-01;31.3
99;Wien;2013-01-01;78.2
100;Österreich;2014-01-01;41.6
101;Burgenland;2014-01-01;19.3
102;Kärnten;2014-01-01;31.8
103;Niederösterreich;2014-01-01;25.6
104;Oberösterreich;2014-01-01;33.7
105;Salzburg;2014-01-01;35.9
106;Steiermark;2014-01-01;33.2
107;Tirol;2014-01-01;31.7
108;Voralberg;2014-01-01;31.9
109;Wien;2014-01-01;77.2
110;Österreich;2015-01-01;42.0
111;Burgenland;2015-01-01;19.6
112;Kärnten;2015-01-01;32.1
113;Niederösterreich;2015-01-01;25.7
114;Oberösterreich;2015-01-01;32.7
115;Salzburg;2015-01-01;36.0
116;Steiermark;2015-01-01;33.4
117;Tirol;2015-01-01;32.3
118;Voralberg;2015-01-01;31.5
119;Wien;2015-01-01;79.4
120;Österreich;2016-01-01;42.7
121;Burgenland;2016-01-01;20.3
122;Kärnten;2016-01-01;35.3
123;Niederösterreich;2016-01-01;26.4
124;Oberösterreich;2016-01-01;33.7
125;Salzburg;2016-01-01;36.6
126;Steiermark;2016-01-01;34.0
127;Tirol;2016-01-01;34.8
128;Voralberg;2016-01-01;32.1
129;Wien;2016-01-01;78.3
130;Österreich;2017-01-01;43.1
131;Burgenland;2017-01-01;19.2
132;Kärnten;2017-01-01;34.9
133;Niederösterreich;2017-01-01;27.1
134;Oberösterreich;2017-01-01;35.3
135;Salzburg;2017-01-01;36.1
136;Steiermark;2017-01-01;34.9
137;Tirol;2017-01-01;34.4
138;Voralberg;2017-01-01;33.1
139;Wien;2017-01-01;78.2
140;Österreich;2018-01-01;42.8
141;Burgenland;2018-01-01;19.1
142;Kärnten;2018-01-01;33.5
143;Niederösterreich;2018-01-01;27.7
144;Oberösterreich;2018-01-01;34.3
145;Salzburg;2018-01-01;35.0
146;Steiermark;2018-01-01;35.1
147;Tirol;2018-01-01;34.9
148;Voralberg;2018-01-01;34.5
149;Wien;2018-01-01;77.5
150;Österreich;2019-01-01;42.8
151;Burgenland;2019-01-01;21.1
152;Kärnten;2019-01-01;33.7
153;Niederösterreich;2019-01-01;27.2
154;Oberösterreich;2019-01-01;34.1
155;Salzburg;2019-01-01;36.6
156;Steiermark;2019-01-01;33.6
157;Tirol;2019-01-01;35.9
158;Voralberg;2019-01-01;33.7
159;Wien;2019-01-01;78.1
160;Österreich;2020-01-01;42.7
161;Burgenland;2020-01-01;21.5
162;Kärnten;2020-01-01;33.7
163;Niederösterreich;2020-01-01;27.4
164;Oberösterreich;2020-01-01;35.6
165;Salzburg;2020-01-01;36.8
166;Steiermark;2020-01-01;34.0
167;Tirol;2020-01-01;33.9
168;Voralberg;2020-01-01;35.4
169;Wien;2020-01-01;76.9
170;Österreich;2021-01-01;42.9
171;Burgenland;2021-01-01;20.7
172;Kärnten;2021-01-01;34.6
173;Niederösterreich;2021-01-01;27.9
174;Oberösterreich;2021-01-01;35.2
175;Salzburg;2021-01-01;36.8
176;Steiermark;2021-01-01;34.4
177;Tirol;2021-01-01;34.1
178;Voralberg;2021-01-01;35.4
179;Wien;2021-01-01;77.2
